Date,Snow Water Equivalent (in) Start of Day Values,Change In Snow Water Equivalent (in),Snow Depth (in) Start of Day Values,Change In Snow Depth (in),Air Temperature Average (degF),Air Temperature Maximum (degF),Air Temperature Minimum (degF)
2014-01-01,7.8,0,35,0,10.6,17.8,4.3
2014-01-02,8.2,0.4,40,5,15.6,23.5,6.3
2014-01-03,8.2,0,38,-2,20.8,27.1,13.3
2014-01-04,8.3,0.1,37,-1,5.2,19.6,-6.2
2014-01-05,8.7,0.4,41,4,-7.4,-4.2,-9.2
2014-01-06,8.8,0.1,41,0,2.7,12.6,-8.3
2014-01-07,8.9,0.1,40,-1,15.8,26.8,8.1
2014-01-08,8.9,0,40,0,13.3,18.9,10.2
2014-01-09,9,0.1,42,2,11.7,19.9,2.3
2014-01-10,9.2,0.2,43,1,6.4,11.5,0.1
2014-01-11,9.6,0.4,44,1,19.4,25.9,11.5
2014-01-12,9.7,0.1,45,1,9.5,21.2,2.1
2014-01-13,10.1,0.4,47,2,10,16,2.8
2014-01-14,10.4,0.3,49,2,10.8,12.9,9
2014-01-15,10.9,0.5,52,3,13.8,19.6,10.2
2014-01-16,10.9,0,52,0,11.7,17.8,7.9
2014-01-17,10.9,0,48,-4,13.1,19.2,8.4
2014-01-18,10.9,0,48,0,14.5,23.5,6.4
2014-01-19,10.9,0,47,-1,20.7,28.8,14.4
2014-01-20,10.9,0,46,-1,16.7,22.3,11.1
2014-01-21,10.9,0,46,0,21.2,29.7,13.3
2014-01-22,10.9,0,45,-1,15.8,28.8,5.4
2014-01-23,10.9,0,45,0,5,15.6,-4.5
2014-01-24,10.9,0,45,0,16,23.9,6.3
2014-01-25,11,0.1,45,0,22.6,32.2,14.7
2014-01-26,11,0,44,-1,18,25.3,11.5
2014-01-27,11,0,44,0,11.1,16.7,-0.9
2014-01-28,11.4,0.4,51,7,-0.9,5.9,-9.8
2014-01-29,11.4,0,50,-1,16.7,25.3,4.6
2014-01-30,11.9,0.5,51,1,16.9,23.5,12.4
2014-01-31,13.1,1.2,63,12,11.8,21,3.6
2014-02-01,13.3,0.2,64,1,1.6,13.5,-4.5
2014-02-02,13.4,0.1,62,-2,2.3,14.7,-9
2014-02-03,13.4,0,61,-1,5.7,15.8,-0.6
2014-02-04,13.5,0.1,60,-1,0.7,12.7,-8.5
2014-02-05,13.5,0,59,-1,-1.5,7.3,-7.4
2014-02-06,13.6,0.1,58,-1,5.7,9.1,1
2014-02-07,13.8,0.2,59,1,11.3,18.3,8.4
2014-02-08,14.1,0.3,61,2,16.3,20.7,11.3
2014-02-09,14.6,0.5,66,5,20.5,24.1,16.5
2014-02-10,15.4,0.8,69,3,16.2,26.8,5.9
2014-02-11,15.7,0.3,72,3,9.9,21.9,-0.9
2014-02-12,15.8,0.1,73,1,15.3,21.6,5.7
